posx,posy,ang
633,391,4.93
633,391,2.05
634,387,0.35
635,384,-0.78
635,384,-1.12
637,381,0.01
640,380,-1.48
642,377,-4.23
642,377,-6.57
644,376,-18.56
647,375,-36.17
647,375,-49.69
650,374,-61.45
654,374,-73.12
657,374,-86.13
660,374,-100.76
660,374,-110.20
664,375,-118.13
666,377,-127.28
666,377,-133.33
666,377,-135.04
666,377,-133.51
672,404,144.11
669,406,150.23
669,406,151.19
666,408,145.40
662,410,136.01
659,411,125.53
659,411,118.79
656,412,113.28
651,412,106.20
648,411,96.56
648,411,89.46
644,409,81.38
641,408,70.66
641,408,62.90
639,406,54.24
636,404,43.25
635,402,30.48
633,400,17.83
633,400,10.54
633,396,6.07
633,393,2.60
633,393,1.17
633,393,1.52
633,393,2.76
651,313,2.33
654,301,1.10
654,301,-0.07
657,290,-0.72
661,278,-0.80
665,267,-0.51
665,267,-0.13
668,255,0.15
671,243,0.25
671,243,0.20
675,231,0.09
678,220,-0.01
678,220,-0.07
678,220,-0.07
678,220,-0.04
688,168,-0.01
691,154,0.01
691,154,0.02
691,154,0.02
691,154,0.01
699,97,0.42
700,90,2.57
700,90,4.84
696,82,9.99
696,82,14.66
696,82,17.11
687,67,24.33
681,62,36.34
673,58,52.80
665,55,71.66
665,55,84.03
658,53,94.15
651,54,104.99
644,55,115.90
644,55,122.29
640,56,125.89
631,58,129.70
623,61,135.39
623,61,139.79
615,65,142.44
606,69,145.89
606,69,148.36
597,73,149.65
589,79,146.37
580,85,144.72
580,85,144.72
570,91,142.74
559,97,144.63
549,103,148.39
549,103,151.67
539,109,149.12
529,116,144.66
529,116,140.95
518,123,141.32
508,129,143.07
497,136,148.24
497,136,153.24
487,142,156.88
476,150,154.87
463,159,154.18
463,159,154.53
454,172,162.87
451,182,173.63
448,187,167.51
448,187,154.12
446,188,156.31
445,189,-163.30
446,191,-173.93
445,193,-177.22
445,193,-174.87
445,199,-166.45
446,205,-158.85
447,211,-157.00
447,211,-159.26
449,218,-160.89
452,226,-160.63
453,235,-153.95
453,235,-146.32
456,245,-140.91
458,255,-139.47
460,265,-140.53
460,265,-142.59
462,278,-143.97
464,288,-144.36
465,294,-146.53
467,300,-145.90
470,311,-143.90
472,322,-142.36
472,322,-141.73
475,334,-142.31
479,346,-143.77
483,357,-144.72
483,357,-144.97
487,369,-144.71
491,382,-145.10
491,382,-145.70
496,396,-144.92
496,396,-143.67
507,422,-135.97
507,422,-127.74
508,430,-118.46
514,435,-107.44
521,439,-94.98
521,439,-86.91
529,442,-78.48
537,444,-67.11
537,444,-58.77
545,444,-59.45
552,444,-60.07
552,444,-60.40
558,444,-48.73
564,443,-32.02
574,440,-26.04
584,437,-27.14
584,437,-31.90
593,432,-35.55
593,432,-37.03
593,432,-36.62
611,422,-34.45
611,422,-32.17
611,422,-30.77
702,362,-20.44
702,362,-9.23
702,362,-2.19
731,341,0.32
741,334,-0.87
741,334,-3.70
751,325,-15.09
751,325,-26.69
770,308,-24.80
770,308,-15.84
780,299,-15.29
790,291,-11.09
801,282,-6.10
801,282,-2.73
812,274,-10.50
822,266,-12.72
822,266,-10.79
831,257,-13.09
840,248,-16.07
850,240,-17.35
859,229,-17.54
859,229,-17.00
867,219,-11.26
876,209,-11.57
876,209,-15.27
885,199,-18.57
895,189,-19.83
895,189,-19.38
895,189,-18.13
914,170,-17.76
923,160,-18.06
934,148,-20.72
934,148,-23.64
943,139,-28.41
948,134,-36.03
948,134,-42.13
952,132,-48.13
957,132,-56.17
957,132,-62.03
961,131,-69.61
964,131,-81.29
967,132,-96.32
967,132,-107.03
970,134,-116.59
972,136,-127.34
972,136,-134.29
975,138,-141.14
976,142,-149.67
977,145,-159.36
977,145,-165.69
978,149,-169.92
978,153,-173.67
978,155,-176.41
979,158,-177.83
979,158,-177.89
979,165,-177.97
978,173,-178.45
977,181,177.29
976,191,175.65
976,191,174.43
973,201,174.37
971,211,176.27
969,222,-178.52
965,233,179.19
963,244,177.83
961,256,175.86
961,256,174.35
959,267,173.33
957,278,173.01
956,291,173.66
956,291,174.60
955,303,174.89
953,315,174.27
951,329,173.38
951,329,172.70
949,340,-173.69
947,353,176.06
947,353,178.25
945,366,-177.75
941,377,-175.48
941,377,-173.11
939,391,-151.22
937,403,-147.57
937,403,-156.08
936,415,-148.04
935,428,-133.73
935,428,-121.76
934,441,-116.14
933,454,-117.41
932,468,-122.99
932,468,-128.75
930,480,-132.21
929,494,-133.72
926,506,-133.88
926,506,-133.19
923,519,-133.12
922,533,-132.20
921,545,-132.41
920,558,-145.32
920,558,-160.22
919,571,-169.64
919,584,-174.44
919,584,-174.54
918,598,-170.19
917,611,-167.17
916,624,-165.75
916,624,-165.87
915,637,-166.41
913,650,-168.22
912,663,-169.61
912,663,-170.16
912,676,-169.99
912,688,-170.32
912,702,-169.96
912,702,-169.35
913,716,-168.85
914,730,-168.20
914,746,-168.58
914,746,-169.39
914,752,-170.54
914,754,-172.23
914,754,-173.54
914,755,-173.24
913,753,-171.29
913,753,-169.20
913,750,-167.90
913,746,-168.86
913,741,-171.14
913,735,-173.25
913,735,-174.37
912,729,-172.78
911,721,-170.69
911,714,-169.19
911,714,-168.65
911,706,-168.48
910,697,-168.60
909,689,-168.42
909,689,-168.14
907,680,-167.50
906,671,-167.34
906,671,-167.52
904,662,-164.90
901,653,-160.91
899,644,-158.63
896,635,-162.88
896,635,-169.17
893,626,-169.00
891,617,-164.72
891,617,-159.84
888,607,-158.74
886,598,-163.22
883,588,-163.65
883,588,-161.54
881,578,-163.43
879,567,-166.02
879,567,-167.94
878,563,-169.08
879,563,-166.37
881,569,-162.96
881,569,-160.58
881,577,-161.04
883,583,-160.45
886,590,-160.76
886,590,-161.46
889,599,-161.25
891,609,-159.36
894,619,-155.60
894,619,-152.32
900,628,-148.19
906,638,-140.28
911,643,-128.45
911,643,-119.29
917,647,-113.83
924,649,-107.39
930,651,-95.95
930,651,-86.39
938,651,-75.65
945,650,-63.27
945,650,-55.12
952,648,-46.56
960,644,-34.66
966,639,-21.61
971,634,-9.16
971,634,-2.26
976,628,1.02
979,623,1.67
979,623,0.52
983,616,-0.37
987,607,-0.74
989,598,0.64
989,598,0.32
991,588,-0.00
994,578,-0.19
995,568,-0.22
997,558,-0.14
999,548,-0.04
999,548,0.04
1001,538,0.07
1003,527,-0.06
1003,527,-0.03
1006,518,0.00
1008,513,-3.33
1007,510,-12.23
1007,510,-20.66
1009,510,-30.31
1011,510,-41.23
1013,509,-52.92
1013,509,-60.18
1015,508,-70.60
1017,508,-84.77
1019,508,-100.64
1019,508,-110.86
1021,508,-123.14
1024,508,-136.91
1024,508,-145.80
1028,510,-152.73
1032,514,-158.13
1036,520,-162.05
1036,520,-163.48
1041,527,-161.60
1045,535,-160.67
1045,535,-160.69
1050,543,-160.41
1053,554,-162.16
1053,554,-164.37
1056,563,-162.99
1061,573,-160.10
1061,573,-157.54
1066,583,-155.83
1070,593,-155.32
1075,604,-158.23
1081,617,-161.92
1081,617,-164.52
1086,627,-165.40
1088,631,-164.49
1088,631,-162.92
1088,632,-162.04
1088,633,-162.35
1089,634,-164.05
